,actual_categories,predicted_categories
0,Fiction,Fiction
1,Fiction,Drama
2,Fiction,Drama
3,Fiction,Drama
4,Fiction,Drama
5,Fiction,Drama
6,Fiction,History
7,Fiction,Fiction
8,Fiction,Fiction
9,Fiction,Drama
10,Fiction,Drama
11,Fiction,Drama
12,Fiction,Biography & Autobiography
13,Fiction,Drama
14,Fiction,Fiction
15,Fiction,Fiction
16,Fiction,Fiction
17,Fiction,Fiction
18,Fiction,Fiction
19,Fiction,Drama
20,Fiction,Drama
21,Fiction,History
22,Fiction,Drama
23,Fiction,Fiction
24,Fiction,Drama
25,Fiction,History
26,Fiction,Fiction
27,Fiction,History
28,Fiction,Philosophy
29,Fiction,Literary Criticism
30,Fiction,History
31,Fiction,Science
32,Fiction,Drama
33,Fiction,Drama
34,Fiction,Biography & Autobiography
35,Fiction,Drama
36,Fiction,Religion
37,Fiction,Drama
38,Fiction,Biography & Autobiography
39,Fiction,Biography & Autobiography
40,Fiction,Drama
41,Fiction,Drama
42,Fiction,Drama
43,Fiction,History
44,Fiction,History
45,Fiction,Fiction
46,Fiction,Juvenile Nonfiction
47,Fiction,Drama
48,Fiction,Fiction
49,Fiction,Drama
50,Fiction,Fiction
51,Fiction,Drama
52,Fiction,Fiction
53,Fiction,Fiction
54,Fiction,Drama
55,Fiction,Fiction
56,Fiction,Science
57,Fiction,Fiction
58,Fiction,Fiction
59,Fiction,Drama
60,Fiction,Fiction
61,Fiction,Drama
62,Fiction,Drama
63,Fiction,Biography & Autobiography
64,Fiction,Biography & Autobiography
65,Fiction,History
66,Fiction,Drama
67,Fiction,Drama
68,Fiction,Fiction
69,Fiction,Fiction
70,Fiction,Fiction
71,Fiction,Poetry
72,Fiction,Drama
73,Fiction,Fiction
74,Fiction,Biography & Autobiography
75,Fiction,Drama
76,Fiction,Biography & Autobiography
77,Fiction,Fiction
78,Fiction,Drama
79,Fiction,Fiction
80,Fiction,Religion
81,Fiction,Biography & Autobiography
82,Fiction,Biography & Autobiography
83,Fiction,Biography & Autobiography
84,Fiction,History
85,Fiction,Philosophy
86,Fiction,Literary Criticism
87,Fiction,History
88,Fiction,History
89,Fiction,Fiction
90,Fiction,Drama
91,Fiction,Drama
92,Fiction,Drama
93,Fiction,Fiction
94,Fiction,Drama
95,Fiction,Fiction
96,Fiction,Fiction
97,Fiction,Fiction
98,Fiction,Biography & Autobiography
99,Fiction,History
100,Fiction,Fiction
101,Fiction,Religion
102,Fiction,History
103,Fiction,Fiction
104,Fiction,Fiction
105,Fiction,Literary Criticism
106,Fiction,Fiction
107,Fiction,Religion
108,Fiction,Fiction
109,Fiction,Fiction
110,Fiction,Religion
111,Fiction,History
112,Fiction,Fiction
113,Fiction,Fiction
114,Fiction,Drama
115,Fiction,Literary Criticism
116,Fiction,Philosophy
117,Fiction,Drama
118,Fiction,Drama
119,Fiction,Fiction
120,Fiction,Drama
121,Fiction,Fiction
122,Fiction,Fiction
123,Fiction,Biography & Autobiography
124,Fiction,Fiction
125,Fiction,Drama
126,Fiction,Fiction
127,Fiction,Fiction
128,Fiction,Fiction
129,Fiction,Fiction
130,Fiction,Fiction
131,Fiction,Fiction
132,Fiction,Poetry
133,Fiction,Drama
134,Fiction,Biography & Autobiography
135,Fiction,Biography & Autobiography
136,Fiction,Fiction
